20 Creating 50 consumers
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-153.796702909 ,Running:4.58975505829 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-186.796944211 ,Running:7.24037694931 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-167.72650485 ,Running:9.44829678535 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-200.941253538 ,Running:13.7461438179 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-185.388154654 ,Running:13.8673260212 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-149.396491398 ,Running:14.0948221684 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-182.739286119 ,Running:16.7278850079 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-153.66920352 ,Running:22.1817491055 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-183.26753409 ,Running:24.9516940117 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-145.526990269 ,Running:30.4032120705 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-184.090834216 ,Running:34.4186060429 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-107.744157698 ,Running:33.8128209114 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-135.413745711 ,Running:36.5896070004 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-199.289118078 ,Running:38.5152640343 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-180.303919869 ,Running:52.304956913 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-168.04645884 ,Running:56.6082620621 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-99.2744322947 ,Running:58.5537950993 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-137.643774607 ,Running:66.4796359539 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-228.704693175 ,Running:71.8561589718 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-212.05134634 ,Running:72.1844007969 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-155.802477042 ,Running:71.8987421989 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-116.115096518 ,Running:74.8981020451 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-179.323921707 ,Running:76.3263781071 
Case:11, Node:[0.967741935483871, 1.0, 0.9836065573770492] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-115.075991783 ,Running:80.8496251106 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-169.947255276 ,Running:80.9944961071 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-165.197268957 ,Running:83.2424321175 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-158.042776084 ,Running:92.107667923 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-190.287608026 ,Running:106.175744057 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-120.815437342 ,Running:107.419870138 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-190.287234811 ,Running:125.870218992 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-147.541217566 ,Running:131.477972031 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.822498513 ,Running:144.332100868 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-128.831451741 ,Running:159.976937056 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-145.094275881 ,Running:165.178088903 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-135.172904852 ,Running:174.831115007 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-122.066047831 ,Running:192.683441162 
Case:34, Node:[0.3333333333333333, 0.06666666666666667, 0.1111111111111111] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-20.2308537544 ,Running:195.98637104 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-126.924157397 ,Running:202.993804932 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-97.6268678146 ,Running:214.24900794 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-146.275286272 ,Running:218.971470833 
Case:29, Node:[0.0, 0.0, 0.0] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-80.8129339247 ,Running:222.492914915 
Case:30, Node:[0.9375, 1.0, 0.967741935483871] ,Feat:[1.0, 0.4, 0.5714285714285715] ,Func_value:-102.510874412 ,Running:222.630491018 
