10 Creating 50 consumers
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-163.757732709 ,Running:278.761471987 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-199.909766377 ,Running:280.875128031 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-199.860854277 ,Running:285.421700001 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-120.525722225 ,Running:288.266865015 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-148.107701668 ,Running:291.871986151 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-197.836707514 ,Running:310.435245991 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-132.872887086 ,Running:315.179801941 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-158.982871662 ,Running:309.789784908 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-227.980723499 ,Running:344.069164038 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-225.874729963 ,Running:340.953647852 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-194.105144638 ,Running:350.110028982 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-138.107399909 ,Running:352.282471895 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-130.809181386 ,Running:358.916776896 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-180.211778922 ,Running:372.418814898 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-125.015157489 ,Running:376.645743132 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-175.498825892 ,Running:383.692909956 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-129.804294806 ,Running:380.465743065 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-176.087452724 ,Running:383.137461185 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-159.238063473 ,Running:395.106981993 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-164.523026881 ,Running:395.386974812 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-133.133232756 ,Running:417.060087919 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-99.6088990667 ,Running:423.235391855 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-131.427733264 ,Running:436.308254004 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-179.952146516 ,Running:454.965553999 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-155.105666541 ,Running:477.354151964 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-164.709377279 ,Running:479.597085953 
Case:45, Node:[0.9666666666666667, 0.9666666666666667, 0.9666666666666667] ,Feat:[1.0, 0.5, 0.6666666666666666] ,Func_value:-125.78084626 ,Running:497.819068909 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-159.33386491 ,Running:510.523089886 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.750240468 ,Running:516.354842186 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-203.495047828 ,Running:540.570945978 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-133.920976771 ,Running:539.018182993 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-140.163376257 ,Running:551.852421999 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-134.051176176 ,Running:550.351832151 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-152.203004798 ,Running:602.588331938 
Case:3, Node:[0.0, 0.0, 0.0] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-3.81418556404 ,Running:643.563130856 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-98.7877045232 ,Running:649.522619963 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-103.618872817 ,Running:665.727035999 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-138.743788846 ,Running:663.605102062 
Case:35, Node:[0.375, 0.1, 0.15789473684210528] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-24.3247484536 ,Running:679.58604598 
Case:17, Node:[0.0, 0.0, 0.0] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-1.7372384529 ,Running:705.614130974 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-109.962560575 ,Running:747.814021111 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-110.715460602 ,Running:849.778030157 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-153.611103767 ,Running:859.490417004 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-186.652115829 ,Running:868.899564981 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-126.121448978 ,Running:877.556612968 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-107.349122573 ,Running:959.773406029 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-121.634722631 ,Running:1024.93994093 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-130.613211202 ,Running:1030.12163281 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-193.680688198 ,Running:1041.74276519 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-174.022519017 ,Running:1049.45873308 
VaryingNumCluster: num_attirbute:10 avg_node_fm:0.94   avg_feat_fm 0.90 avg_runtime:542.17
12 Creating 50 consumers
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-175.771622418 ,Running:291.232030869 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-124.903962044 ,Running:300.539820194 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-108.295294463 ,Running:305.913793802 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-145.156172092 ,Running:312.557219028 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-140.817183537 ,Running:315.159851074 
Case:7, Node:[0.9375, 1.0, 0.967741935483871] ,Feat:[1.0, 0.4, 0.5714285714285715] ,Func_value:-103.462935173 ,Running:320.221472025 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-148.611015551 ,Running:342.009661913 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-197.512241864 ,Running:376.989609957 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-168.558056758 ,Running:394.181710005 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-157.561056557 ,Running:398.212949038 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-198.27597341 ,Running:423.100438833 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-131.594908852 ,Running:449.22113204 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-134.95157861 ,Running:462.238823175 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-138.721276022 ,Running:473.477852821 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-164.954227873 ,Running:467.904537916 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-203.064748223 ,Running:474.553709984 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-148.412930363 ,Running:480.944103956 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-155.328440555 ,Running:495.97297287 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-167.104643995 ,Running:484.444435835 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-188.034555047 ,Running:484.54323411 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-128.360571193 ,Running:507.813502073 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-144.355663591 ,Running:526.538646936 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-139.513710927 ,Running:517.205599785 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-135.876228656 ,Running:569.111678123 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-169.556711279 ,Running:573.624849081 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-197.057919096 ,Running:572.88325119 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-158.498734506 ,Running:590.942358971 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-148.557461934 ,Running:664.369472027 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-147.864089676 ,Running:673.611389875 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-189.205771421 ,Running:668.792163134 
Case:37, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-157.363648675 ,Running:723.614055872 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-113.74944436 ,Running:753.72194314 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-110.75838949 ,Running:789.318743944 
Case:1, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-91.7724768139 ,Running:840.046292067 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-173.152476244 ,Running:839.756962061 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-113.408476757 ,Running:861.937917948 
Case:45, Node:[0.9032258064516129, 0.9333333333333333, 0.9180327868852459] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-71.5534205735 ,Running:871.179301023 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-150.065403967 ,Running:906.910689831 
Case:44, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-135.707072705 ,Running:999.77681613 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-115.641299446 ,Running:1074.05661201 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-166.221176613 ,Running:1089.6375339 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-111.359193921 ,Running:1103.93679404 
Case:30, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-153.508759866 ,Running:1104.11676502 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-195.810871455 ,Running:1196.39878893 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-116.471197808 ,Running:1377.06577301 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-122.615412719 ,Running:1406.97308302 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-103.445377702 ,Running:1425.89858985 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-174.065309097 ,Running:1534.16072488 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-217.819706675 ,Running:1637.37393284 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-161.103088251 ,Running:1640.33152699 
VaryingNumCluster: num_attirbute:12 avg_node_fm:1.00   avg_feat_fm 0.94 avg_runtime:721.89
14 Creating 50 consumers
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-120.765202552 ,Running:308.724059105 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-138.064067417 ,Running:341.997726917 
