(30, 100) Creating 50 consumers
File not exist..
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-434.132823317 ,Running:274.54029417 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-317.237310225 ,Running:318.511875868 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.6, 0.7499999999999999] ,Func_value:-290.172638544 ,Running:323.590227842 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-331.079257175 ,Running:315.031666994 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-341.270291788 ,Running:348.548126221 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-539.261282404 ,Running:338.560323954 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-234.294646594 ,Running:310.593762875 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-401.885030895 ,Running:349.700443983 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-245.210762784 ,Running:344.381263971 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-343.278039356 ,Running:350.631087065 
Case:26, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-329.251978107 ,Running:301.99556303 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-154.44012145 ,Running:414.715155125 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-292.171328885 ,Running:366.308741093 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-327.872910048 ,Running:391.27609992 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-176.316254076 ,Running:440.096138 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-410.141134969 ,Running:420.430902004 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-215.405334252 ,Running:395.359861851 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-177.785684666 ,Running:392.936944008 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-243.705826518 ,Running:435.895877838 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-356.439863579 ,Running:373.293158054 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-268.267676769 ,Running:363.995222807 
